orden	componente	repo	ref	build
1	cmake	EXTERNO		cmake
2	cmake-modules-webos	openwebos/cmake-modules-webos	submissions/12	cmake
3	cjson	openwebos/cjson	submissions/35	autotools
4	pbnjson	openwebos/libpbnjson	submissions/7	cmake
5	pmloglib	openwebos/pmloglib	submissions/21	cmake
6	nyx-lib	openwebos/nyx-lib	submissions/58	cmake
7	luna-service2	openwebos/luna-service2	submissions/147	cmake
8	qt4	openwebos/qt	submissions/4	qmake
9	npapi-headers	isis-project/npapi-headers	0.4	copiar
10	luna-webkit-api	openwebos/luna-webkit-api	submissions/1.01	copiar
11	webkit	isis-project/WebKit	0.54	qmake
12	luna-sysmgr-ipc	openwebos/luna-sysmgr-ipc	submissions/2	cmake
13	luna-sysmgr-ipc-messages	openwebos/luna-sysmgr-ipc-messages	submissions/2	cmake
14	luna-sysmgr-common	openwebos/luna-sysmgr-common	submissions/4	qmake
15	luna-sysmgr	openwebos/luna-sysmgr	submissions/5	qmake
16	keyboard-efigs	openwebos/keyboard-efigs	submissions/1.02	qmake
17	webappmanager	openwebos/webappmanager	submissions/4	qmake
18	luna-init	openwebos/luna-init	submissions/1.03	cmake
19	luna-prefs	openwebos/luna-prefs	submissions/1.01	cmake
20	luna-sysservice	openwebos/luna-sysservice	submissions/2	cmake
21	librolegen	openwebos/librolegen	submissions/16	cmake
22	luna-universalsearchmgr	openwebos/luna-universalsearchmgr	submissions/1.00	cmake
23	luna-applauncher	openwebos/luna-applauncher	submissions/1.00	copiar
24	luna-systemui	openwebos/luna-systemui	submissions/1.02	copiar
25	enyo-1.0	enyojs/enyo-1.0	submissions/128.2	copiar
26	core-apps	openwebos/core-apps	submissions/2	copiar
27	isis-browser	isis-project/isis-browser	0.21	copiar
28	isis-fonts	isis-project/isis-fonts	v0.1	copiar
29	foundation-frameworks	openwebos/foundation-frameworks	1.0	copiar
30	mojoservice-frameworks	openwebos/mojoservice-frameworks	1.0	copiar
31	loadable-frameworks	openwebos/loadable-frameworks	1.0.1	copiar
32	app-services	openwebos/app-services	1.02	copiar
33	mojolocation-stub	openwebos/mojolocation-stub	submissions/2	copiar
34	pmnetconfigmanager-stub	openwebos/pmnetconfigmanager-stub	submissions/3	copiar
35	underscore	openwebos/underscore	submissions/8	copiar
36	mojoloader	openwebos/mojoloader	submissions/8	copiar
37	mojoservicelauncher	openwebos/mojoservicelauncher	submissions/71	cmake
38	WebKitSupplemental	isis-project/WebKitSupplemental	0.4	qmake
39	AdapterBase	isis-project/AdapterBase	0.2	qmake
40	BrowserServer	isis-project/BrowserServer	0.7.1	make
41	BrowserAdapter	isis-project/BrowserAdapter	0.4.1	make
42	nodejs	openwebos/nodejs	submissions/34	cmake
43	nodejs-module-webos-sysbus	openwebos/nodejs-module-webos-sysbus	submissions/25	cmake
44	nodejs-module-webos-pmlog	openwebos/nodejs-module-webos-pmlog	submissions/10	cmake
45	nodejs-module-webos-dynaload	openwebos/nodejs-module-webos-dynaload	submissions/11	cmake
46	leveldb	EXTERNO	1.9	make
47	db8	openwebos/db8	submissions/63	cmake
48	configurator	openwebos/configurator	submissions/49	cmake
49	activitymanager	openwebos/activitymanager	submissions/110	cmake
50	pmstatemachineengine	openwebos/pmstatemachineengine	submissions/13	cmake
51	libpalmsocket	openwebos/libpalmsocket	submissions/30	cmake
52	libsandbox	openwebos/libsandbox	submissions/15	cmake
53	jemalloc	openwebos/jemalloc	submissions/11	cmake
54	filecache	openwebos/filecache	submissions/55	cmake
55	mojomail	openwebos/mojomail	submissions/99	cmake
